from,to,count
"account management/glam","account management/glam",1884
"account management/glam",bdr,10
"account management/glam","business finance",20
"account management/glam",channel,20
"account management/glam","customer success management csm",225
"account management/glam","customer support",125
"account management/glam","digital experience",45
"account management/glam","drupal cloud engineering",10
"account management/glam","drupal cloud products",130
"account management/glam","facilities /ga",45
"account management/glam","field marketing",20
"account management/glam","field sales",80
"account management/glam",fp&a,10
"account management/glam","governance, risk & compliance",10
"account management/glam",legal,40
"account management/glam","operations cs",20
"account management/glam",presales,660
"account management/glam","professional services",110
"account management/glam",revenue,342
"account management/glam","sales ops",35
"account management/glam",tam,235
accounting,accounting,374
accounting,"business finance",23
accounting,"digital marketing",20
accounting,"facilities /ga",35
accounting,"g&a ops",10
accounting,"human resources",15
accounting,"information technology",60
accounting,"professional services",10
accounting,revenue,55
bdr,"account management/glam",17
bdr,bdr,1273
bdr,"field sales",200
bdr,"human resources",10
bdr,"inside sales",10
bdr,marketing,85
bdr,"marketing operations",25
bdr,"product marketing",50
bdr,revenue,10
bdr,"talent acquisition",10
"business finance",accounting,87
"business finance","business finance",60
"business finance",fp&a,25
"business finance","human resources",5
"business finance",revenue,35
"business finance","sales ops",15
channel,"account management/glam",50
channel,accounting,20
channel,channel,345
channel,"customer success management csm",20
channel,"field sales",20
channel,"human resources",10
channel,marketing,45
channel,presales,158
channel,"product marketing",20
"customer success innovations","account management/glam",15
"customer success innovations","customer success innovations",135
"customer success innovations","customer success management csm",15
"customer success innovations","customer support",135
"customer success innovations","drupal cloud engineering",70
"customer success innovations","drupal cloud products",45
"customer success innovations","information technology",15
"customer success innovations","marketing cloud products",5
"customer success innovations","professional services",20
"customer success innovations","shared services products",25
"customer success innovations",tam,5
"customer success management csm","account management/glam",344
"customer success management csm",bdr,15
"customer success management csm","customer success management csm",1705
"customer success management csm","customer support",10
"customer success management csm","digital marketing",20
"customer success management csm","drupal cloud engineering",10
"customer success management csm","drupal cloud products",35
"customer success management csm","learning & development",10
"customer success management csm","marketing cloud engineering",20
"customer success management csm",presales,30
"customer success management csm","professional services",275
"customer success management csm","sales ops",25
"customer success management csm",tam,325
"customer support","account management/glam",26
"customer support","customer success innovations",25
"customer support","customer support",2807
"customer support","drupal cloud engineering",70
"customer support","drupal cloud products",40
"customer support","governance, risk & compliance",10
"customer support","information technology",35
"customer support","learning & development",10
"customer support","learning services",100
"customer support","marketing cloud products",5
"customer support","operations cs",179
"customer support","professional services",10
"customer support","shared services engineering",20
"customer support",tam,55
"digital experience","customer success management csm",5
"digital experience","digital experience",45
"digital experience","learning services",30
"digital experience","marketing cloud products",10
"digital experience",tam,25
"digital marketing","customer success management csm",10
"digital marketing","digital experience",10
"digital marketing","digital marketing",779
"digital marketing","drupal cloud products",15
"digital marketing","facilities /ga",15
"digital marketing","field marketing",40
"digital marketing","human resources",260
"digital marketing",marketing,65
"digital marketing","marketing operations",95
"digital marketing","product marketing",20
"digital marketing","talent acquisition",10
"drupal cloud engineering","account management/glam",80
"drupal cloud engineering",accounting,10
"drupal cloud engineering","customer success innovations",40
"drupal cloud engineering","customer support",35
"drupal cloud engineering","drupal cloud engineering",3700
"drupal cloud engineering","drupal cloud products",208
"drupal cloud engineering","facilities /ga",20
"drupal cloud engineering","human resources",70
"drupal cloud engineering","information technology",10
"drupal cloud engineering","marketing cloud engineering",119
"drupal cloud engineering","marketing cloud products",10
"drupal cloud engineering","operations cs",25
"drupal cloud engineering","professional services",29
"drupal cloud engineering","shared services engineering",145
"drupal cloud engineering","shared services products",8
"drupal cloud engineering","talent acquisition",85
"drupal cloud engineering",undefined,108
"drupal cloud products","customer success innovations",40
"drupal cloud products","customer success management csm",30
"drupal cloud products","customer support",40
"drupal cloud products","drupal cloud engineering",665
"drupal cloud products","drupal cloud products",198
"drupal cloud products","information technology",55
"drupal cloud products","learning services",20
"drupal cloud products","marketing cloud products",5
"drupal cloud products","operations cs",10
"drupal cloud products",presales,15
"drupal cloud products","product marketing",10
"drupal cloud products","professional services",110
"drupal cloud products","shared services engineering",20
"drupal cloud products","shared services products",175
"event marketing","digital marketing",25
"facilities /ga","account management/glam",100
"facilities /ga",accounting,20
"facilities /ga","field sales",100
"facilities /ga","information technology",90
"facilities /ga","professional services",50
"field marketing","account management/glam",10
"field marketing",accounting,25
"field marketing",bdr,20
"field marketing","digital marketing",155
"field marketing","drupal cloud products",20
"field marketing","event marketing",80
"field marketing","field marketing",40
"field marketing","learning services",10
"field marketing","marketing operations",15
"field marketing",presales,20
"field marketing","product marketing",20
"field marketing","sales ops",50
"field sales","account management/glam",150
"field sales",bdr,325
"field sales","business finance",5
"field sales",channel,20
"field sales","digital experience",30
"field sales","field marketing",125
"field sales","field sales",357
"field sales","human resources",10
"field sales",legal,195
"field sales",marketing,40
"field sales","marketing cloud engineering",10
"field sales",presales,683
"field sales","product marketing",50
"field sales","professional services",75
"field sales",revenue,330
"field sales","sales ops",80
"field sales",tam,45
fp&a,"business finance",125
fp&a,"customer support",20
fp&a,fp&a,10
fp&a,"human resources",30
fp&a,revenue,90
"g&a ops","field marketing",20
"g&a ops","g&a ops",10
"g&a ops","human resources",10
"governance, risk & compliance","customer support",35
"governance, risk & compliance","drupal cloud products",25
"governance, risk & compliance","governance, risk & compliance",246
"governance, risk & compliance","information technology",25
"governance, risk & compliance","operations cs",60
"governance, risk & compliance",presales,75
"human resources","account management/glam",500
"human resources",accounting,30
"human resources","customer support",250
"human resources","drupal cloud engineering",2255
"human resources","drupal cloud products",2750
"human resources","facilities /ga",60
"human resources","field sales",510
"human resources","g&a ops",60
"human resources","governance, risk & compliance",100
"human resources","human resources",1175
"human resources","information technology",30
"human resources","learning & development",100
"human resources","learning services",1000
